1##1	سمو اله رحم رحم
10##75	بعث بعد ملا ایی كبر كون قوم جرم
10##76	جیا حقق عند قول سحر بین
10##77	قول قول حقق جیا سحر فلح سحر
10##78	قول جیا لفت وجد ابو كون كبر ارض امن
10##79	قول اتی كلل سحر علم
10##80	جیا سحر قول لقی لقی
10##81	لقی قول جیا سحر اله بطل اله صلح عمل فسد
10##82	حقق اله حقق كلم كره جرم
10##83	امن ذرر قوم خوف ملا فتن علو ارض سرف
10##84	قول قوم كون امن اله وكل كون سلم
10##85	قول اله وكل ربب جعل فتن قوم ظلم
10##86	نجو رحم قوم كفر
10##87	وحی اخو بوا قوم مصر بیت جعل بیت قبل قوم صلو بشر امن
10##88	قول ربب اتی ملا زین مول حیی دنو ربب ضلل سبل ربب طمس مول شدد قلب امن رای عذب الم
10##89	قول جوب دعو قوم تبع سبل علم
10##90	جوز بنی بحر تبع جند بغی عدو درك غرق قول امن اله امن بنی سلم
10##91	عصی قبل كون فسد
10##92	یوم نجو بدن كون خلف ایی كثر نوس ایی غفل
10##93	بوا بنی بوا صدق رزق طیب خلف جیا علم ربب قضی بین یوم قوم كون خلف
10##94	كون شكك نزل سال قرا كتب قبل جیا حقق ربب كون مری
10##95	كون كذب ایی اله كون خسر
10##96	حقق كلم ربب امن
10##97	جیا كلل ایی رای عذب الم
10##98	كون قری امن نفع امن قوم امن كشف عذب خزی حیی دنو متع حین
10##99	شیا ربب امن ارض كلل جمع كره نوس كون امن
10##100	كون نفس امن اذن اله جعل رجس عقل
10##101	قول نظر سمو ارض غنی ایی نذر قوم امن
10##102	نظر مثل یوم خلو قبل قول نظر نظر
10##103	نجو رسل امن حقق نجو امن
10##104	قول نوس كون شكك دین عبد عبد دون اله عبد اله وفی امر كون امن
10##105	قوم وجه دین حنف كون شرك
10##106	دعو دون اله نفع ضرر فعل ظلم
10##107	مسس اله ضرر كشف رود خیر ردد فضل صوب شیا عبد غفر رحم
10##108	قول نوس جیا حقق ربب هدی هدی نفس ضلل ضلل وكل
10##109	تبع وحی صبر حكم اله خیر حكم
11##1	الٓر كتب حكم ایی فصل لدن حكم خبر
11##2	عبد اله نذر بشر
11##3	غفر ربب توب متع متع حسن اجل سمو اتی كلل فضل فضل ولی خوف عذب یوم كبر
11##4	اله رجع كلل شیا قدر
11##5	ثنی صدر خفی حین غشو ثوب علم سرر علن علم صدر
11##6	دبب ارض اله رزق علم قرر ودع كلل كتب بین
11##7	خلق سمو ارض ستت یوم كون عرش موه بلو حسن عمل قول بعث بعد موت قول كفر سحر بین
11##8	اخر عذب امم عدد قول حبس یوم اتی لیس صرف حیق كون هزا
11##9	ذوق انس رحم نزع یاس كفر
11##10	ذوق نعم بعد ضرر مسس قول ذهب سوا فرح فخر
11##11	صبر عمل صلح غفر اجر كبر
11##12	ترك بعض وحی ضیق صدر قول نزل كنز جیا ملك نذر اله كلل شیا وكل
11##13	قول فری قول اتی عشر سور مثل فری دعو طوع دون اله كون صدق
11##14	جوب علم نزل علم اله اله سلم
11##15	كون رود حیی دنو زین وفی عمل بخس
11##16	لیس اخر نور حبط صنع بطل كون عمل
11##17	كون بین ربب تلو شهد قبل كتب امم رحم امن كفر حزب نور وعد كون مری حقق ربب كثر نوس امن
11##18	ظلم فری اله كذب عرض ربب قول شهد كذب ربب لعن اله ظلم
11##19	صدد سبل اله بغی عوج اخر كفر
11##20	كون عجز ارض كون دون اله ولی ضعف عذب كون طوع سمع كون بصر
11##21	خسر نفس ضلل كون فری
11##22	جرم اخر خسر
11##23	امن عمل صلح خبت ربب صحب جنن خلد
11##24	مثل فرق عمی صمم بصر سمع سوی مثل ذكر
11##25	رسل قوم نذر بین
11##26	عبد اله خوف عذب یوم الم
11##27	قول ملا كفر قوم رای بشر مثل رای تبع رذل بدو رای رای فضل ظنن كذب
11##28	قول قوم رای كون بین ربب اتی رحم عند عمی لزم كره
11##29	قوم سال مول اجر اله طرد امن لقی ربب رای قوم جهل
11##30	قوم نصر اله طرد ذكر
11##31	قول عند خزن اله علم غیب قول ملك قول زری عین اتی اله خیر اله علم نفس ظلم
11##32	قول جدل كثر جدل اتی وعد كون صدق
11##33	قول اتی اله شیا عجز
11##34	نفع نصح رود نصح كون اله رود غوی ربب رجع
11##35	قول فری قول فری جرم برا جرم
11##36	وحی امن قوم امن باس كون فعل
11##37	صنع فلك عین وحی خطب ظلم غرق
11##38	صنع فلك كلل مرر ملا قوم سخر قول سخر سخر سخر
11##39	علم اتی عذب خزی حلل عذب قوم
11##40	جیا امر فور قول حمل كلل زوج ثنی اهل سبق قول امن امن قلل
11##41	قول ركب سمو اله جری رسو ربب غفر رحم
11##42	جری موج جبل ندو بنی كون عزل بنی ركب كون كفر
11##43	قول اوی جبل عصم موه قول عصم یوم امر اله رحم حول بین موج كون غرق
11##44	قول ارض بلع موه سمو قلع غیض موه قضی امر سوی قول بعد قوم ظلم
11##45	ندو ربب قول ربب بنی اهل وعد حقق حكم حكم
11##46	قول لیس اهل عمل غیر صلح سال لیس علم وعظ كون جهل
11##47	قول ربب عوذ سال لیس علم غفر رحم كون خسر
11##48	قول هبط سلم برك امم امم متع مسس عذب الم
11##49	نبا غیب وحی كون علم قوم قبل صبر عقب وقی
11##50	عود اخو هود قول قوم عبد اله اله غیر فری
11##51	قوم سال اجر اجر فطر عقل
11##52	قوم غفر ربب توب رسل سمو درر زید قوی قوی ولی جرم
11##53	قول هود جیا بین ترك اله قول امن
11##54	قول عرو بعض اله سوا قول شهد اله شهد برا شرك
11##55	دون كید جمع نظر
11##56	وكل اله ربب ربب دبب اخذ نصی ربب صرط قوم
11##57	ولی بلغ رسل خلف ربب قوم غیر ضرر شیا ربب كلل شیا حفظ
11##58	جیا امر نجو هود امن رحم نجو عذب غلظ
11##59	عود جحد ایی ربب عصی رسل تبع امر كلل جبر عند
11##60	تبع دنو لعن یوم قوم عود كفر ربب بعد عود قوم هود
11##61	اخو صلح قول قوم عبد اله اله غیر نشا ارض عمر غفر توب ربب قرب جوب
11##62	قول صلح كون رجو قبل نهی عبد عبد ابو شكك دعو ریب
11##63	قول قوم رای كون بین ربب اتی رحم نصر اله عصی زید غیر خسر
11##64	قوم نوق اله ایی وذر اكل ارض اله مسس سوا اخذ عذب قرب
11##65	عقر قول متع دور ثلث یوم وعد غیر كذب
11##66	جیا امر نجو صلح امن رحم خزی ربب قوی عزز
11##67	اخذ ظلم صیح صبح دور جثم
11##68	غنی كفر ربب بعد
11##69	جیا رسل بشر قول سلم قول سلم لبث جیا عجل حنذ
11##70	رای یدی وصل نكر وجس خوف قول خوف رسل قوم
11##71	مرا قوم ضحك بشر وری
11##72	قول ولد عجز بعل شیخ شیا عجب
11##73	قول عجب امر اله رحم اله برك اهل بیت حمد مجد
11##74	ذهب روع جیا بشر جدل قوم
11##75	حلم اوه نوب
11##76	عرض جیا امر ربب اتی عذب غیر ردد
11##77	جیا رسل سوا ضیق ذرع قول یوم عصب
11##78	جیا قوم هرع قبل كون عمل سوا قول قوم بنی طهر وقی اله خزی ضیف لیس رجل رشد
11##79	قول علم بنی حقق علم رود
11##80	قول قوی اوی ركن شدد
11##81	قول رسل ربب وصل سری اهل قطع لیل لفت احد مرا صوب صوب وعد صبح لیس صبح قرب
11##82	جیا امر جعل علو سفل مطر حجر سجل نضد
11##83	سوم عند ربب ظلم بعد
11##84	اخو قول قوم عبد اله اله غیر نقص كیل وزن رای خیر خوف عذب یوم حوط
11##85	قوم وفی كیل وزن قسط بخس نوس شیا عثو ارض فسد
11##86	بقی اله خیر كون امن حفظ
11##87	قول صلو امر ترك عبد ابو فعل مول شیا حلم رشد
11##88	قول قوم رای كون بین ربب رزق رزق حسن رود خلف نهی رود صلح طوع وفق اله وكل نوب
11##89	قوم جرم شقق صوب مثل صوب قوم قوم هود قوم صلح قوم بعد
11##90	غفر ربب توب ربب رحم ودد
11##91	قول فقه كثر قول رای ضعف رهط رجم عزز
11##92	قول قوم رهط عزز اله اخذ وری ظهر ربب عمل حوط
11##93	قوم عمل كون عمل علم اتی عذب خزی كذب رقب رقب
11##94	جیا امر نجو امن رحم اخذ ظلم صیح صبح دور جثم
11##95	غنی بعد بعد
11##96	رسل ایی سلط بین
11##97	ملا تبع امر امر رشد
11##98	قدم قوم یوم قوم ورد نور باس ورد ورد
11##99	تبع لعن یوم قوم باس رفد رفد
11##100	نبا قری قصص قوم حصد
11##101	ظلم ظلم نفس غنی اله دعو دون اله شیا جیا امر ربب زید غیر تبب
11##102	اخذ ربب اخذ قری ظلم اخذ الم شدد
11##103	ایی خوف عذب اخر یوم جمع نوس یوم شهد
11##104	اخر اجل عدد
11##105	یوم اتی كلم نفس اذن شقو سعد
11##106	شقو نور زفر شهق
11##107	خلد دوم سمو ارض شیا ربب ربب فعل رود
11##108	سعد جنن خلد دوم سمو ارض شیا ربب عطو غیر جذذ
11##109	كون مری عبد عبد عبد ابو قبل وفی نصب غیر نقص
11##110	اتی كتب خلف كلم سبق ربب قضی بین شكك ریب
11##111	كلل وفی ربب عمل عمل خبر
11##112	قوم امر توب طغی عمل بصر
11##113	ركن ظلم مسس نور دون اله ولی نصر
11##114	قوم صلو طرف نهر زلف لیل حسن ذهب سوا ذكر ذكر
11##115	صبر اله ضیع اجر حسن
11##116	كون قرن قبل اول بقی نهی فسد ارض قلل نجو تبع ظلم ترف كون جرم
11##117	كون ربب هلك قری ظلم اهل صلح
11##118	شیا ربب جعل نوس امم وحد زیل خلف
11##119	رحم ربب خلق تمم كلم ربب ملا جنن نوس جمع
11##120	كلل قصص نبا رسل ثبت فاد جیا حقق وعظ ذكر امن
11##121	قول امن عمل كون عمل
11##122	نظر نظر
11##123	اله غیب سمو ارض رجع امر كلل عبد وكل ربب غفل عمل
12##1	الٓر ایی كتب بین
12##2	نزل قرا عرب عقل
12##3	قصص حسن قصص وحی قرا كون قبل غفل
12##4	قول ابو ابو رای احد عشر كوكب شمس قمر رای سجد
12##5	قول بنی قصص رای اخو كید كید شطن انس عدو بین
12##6	جبی ربب علم اول حدث تمم نعم اول تمم ابو قبل ربب علم حكم
12##7	كون اخو ایی سال
12##8	قول اخو حبب ابو عصب ابو ضلل بین
12##9	قتل طرح ارض خلو وجه ابو كون بعد قوم صلح
12##10	قول قول قتل لقی غیب جبب لقط بعض سیر كون فعل
