,Finglish,Persian
1459,"baraam kheyli ajib bood, mage mard baayad ejaaze bede ke sare kaar nare!!!",برام خیلی عجیب بود،مگه مرد باید اجازه بده که سرکار نره!!!
111,divist melyoon nojavan dar donya kharej az mazra e hastand raghami nazdik be jameeyat berezil.,۲۰۰ میلیون نوجوان در دنیا خارج از مدرسه هستند، رقمی نزدیک به جمعیت برزیل
123,yek an bidar misham o viraneha ro ba cheshmat rahash mikonam. ye rooz hame chiz addi mishe ya hameh chiz be nafam tamom mishe.,خون دوید تو سرم از عصبانیت رو پا بند نبودم
1921,zani si saale motalaghe va khosh poosh baa aaraayeshi ghaliz.,زنی سی ساله مطلقه و خوش پوش با ارایشی غلیظ.
1038,"va migooyam jang raa bord, be jaaye in ke poolash raa dar yek nobat begirad 20 baraabare mablaghe avaliye raa pas gereft.",و میگویم جنگ را برد، بجایی این که پولش را در یک نوبت بگیرد ۲۰ برابر مبلغ اولیه را پس گرفت
416,chera inghadr toulesh dadid?,چرا اينقدر طولش دادي ؟
113,vaght an rasideh ast ke sedaye anhaie bashim ke dir zamanist az dashtane seda mahroom mandehand.,وقت آن رسیده تا صدای آنهایی باشیم که دیرزمانی است از داشتن صدا محروم ماندهاند
436,vase halouvin mikhaham maghnae sabz ba chador sar konam ba batoom beram biroun.,واسه هالوین میخوام مقنعه سبز و چادر سر کنم با باتوم برم بیرون
558,in aparteman e dokhtar ha ast.,!اين آپارتمان دخترهاست
753,man ke khoone nistam hich vaght,من که خونه نیستم هیچ وقت.
1029,"bi adabaane, too harf paridan, chendesh aavar, ranjaandan.",بیادبانه، تو حرف پریدن، چندشآور، رنجاندن
563,hichi nagoftam.,هیچچی نگفتم
1819,bekhaatere in ke doostesh daaram.,بخاطر اینکه دوستش دارم
350,chi mian az khatere ye raftanesh ke tou shahr harf bezanid?,کي مياد از خاطره رفتنش به پارک شهر حرف بزنه ؟
1569,makhsoosan vaghti chand nemooneye barjeste bebinim ke dar mokaaleme ghaaleb hastand.,مخصوصا وقتی چند نمونهی برجسته ببینیم که در مکالمه غالب هستند
395,rahabaran bish az charsad morde noght e etesal ra dar rouz darand.,رهبران بیش از ۴۰۰ مورد از این نقاط اتصال را در طول روز دارند
308,ghodrat be shekl e besabeghei be samt e javanan sarazir mishavad be dalil va bastegi e ma be DQ.,قدرت، به شکل بیسابقهای بسوی جوانها سرازیر میشود به دلیل افزایش وابستگی ما به DQ : هوش دیجیتال
231,tou khiaboun dari rah miri har dou nafari ke az kenaret rad mishan daran darmored dolar harf mizanan.,تو خیابون داری راه میری هر دو نفری که از کنارت رد میشن دارن در مورد دلار حرف میزنن
545,bayad saayeman ra bokonim.,بايد سعيمون رو بکنيم؟-
335,davar hodood e panj daghigheh faght ezafeh gereft.,داور حدود پنج دقیقه فقط اضافه گرفت
822,pas motaaleaati raa tanzim kardim jaayi ke 5 sherkat konande shaahed amal gostaakhaane yek aazmaayeshgar nesbat be kasi ke baraaye tahghigh dir reside bood mishodand,پس مطالعاتی را تنظیم کردیم جایی که پنج شرکت کننده شاهد عمل گستاخانهی یک آزمایشگر نسبت به کسی که برای تحقیق دیر رسیده بود میشدند
1738,"- yaadet andaakht, mage na?",یادت انداخت ، مگه نه؟-
738,raast baavaram nemishavad gofti,راس ، باورم نميشه گفتي
1823,va chizi ke fahmidim in bood ke bi adabi angizeye kaarkonaan raa kaahesh midahad.,و چیزی که فهمیدیم این بود که بیادبی انگیزه کارکنان را کاهش میدهد
959,na hanooz ham short mipoosham,نه ، هنوزم شرت مي پوشن
1045,"cheraa? chon beri feshaar aavard, va dar in ravand 300 miliyoon dolaar kaaseb shod.",چرا؟ چون بری فشار آورد، و در این روند ۳۰۰ میلیون دلار کاسب شد
1581,"baa sarfe vaghte bishtar dar aanjaa, dayaaftim ke momken ast.",با صرف وقت بیشتر در آنجا، دریافتم که ممکن است
578,man dar sandalimam froo raftam va bi sabrane montazer e payan e jalase boodam.,من در صندلیم فرو رفتم، و بیصبرانه منتظر پایان جلسه بودم
169,man dashtam tashbih mekardam.,من داشتم تشبيه مي کردم
539,"chand bar begam dozdi dar kar nist,eshare bemostraah, moshkel aanhjast.",چند بار بگم دزدی در کار نیست اشاره به مستراح مشکل از اونجاست.
1852,dovomi: modire bozorgtarin kheyriyeye shahrash.,دومی: مدیر بزرگترین خیریه شهرش
1371,to vel nemikoni ke bere?,تو ول نمی کنی که بره ؟
1011,"shomaare do, az afraade ebraaz nashode baa raveshhaaye saade hemaayat konid.",شماره دو، از افراد ابراز نشده با روشهای سادهای حمایت کنید
1281,faghat soorat hesaab lotfan.,فقط صورت حساب ، لطفاً
1170,salaam. richel gerin hastam.,سلام . ریچل گرین هستم
1189,daaram mimiram. vaay oomad oomad baa haale khafegish. rad kard. pesaram ye kebrit roshan kon.,دارم میمیرم. وای اومد اومد با حال خفگی آخیش . رد کرد. پسرم یه کبریت روشن کن.
370,chetor tonesti behesh begouei.,چطور تونستي بهش بگي ؟
824,shomaa mikhaahid che kasi baashid? soaal saadeei ast va che bedaanid va che nadaanid javaab aan ra har rooz baa raftaaretaan midahid,شما میخواهید چه کسی باشید؟ سوال سادهای است، و چه بدانید چه ندانید، جواب آن را هر روز با رفتارتان میدهید
1595,mitoonam roo moblet bekhaabam?,میتونم رو مبلت بخوابم؟
286,belakhareh ye rouz sobh cheshmam ro baz mikonam va az bidar shodanam lezat mibaram.,بالاخره یه روز صبح چشامو باز میکنم و از بیدار شدنم لذت میبرم
1117,revaayat haa shabihe hamdigarand.,روایتها شبیه همدیگرند
772,badesh jaam bood postchim,بعدش جان بود ، پستچيم
967,va aan raa tamaashaa mikardi?,و اونو تماشا مي کردي ؟
434,az mehman dari kenar bekesham.,از مهمونداري کنار بکشم
1517,"ke be maa emkaane tahaghoghe ahdaafe toseye paaydaar mesle jensiyat, naabaraabaritoseye eghtesaadi va shahri raa bedahad.",که به ما امکان تحقق اهداف توسعه پایدار مثل جنسیت، نابرابری توسعه اقتصادی و شهری را بدهد
1573,vahid oon eynak maale kiye?,وحید اون عینک مال کیه؟
1880,-hich kaari nist ke bokonam.,هیچ کاری نیست که بکنم-
1788,cheraa daari miri aabshaare behesht?,چرا داری میری آبشار بهشت؟
1638,nemikhaast bache daar beshe.,.نمی خواست بچه دار بشه
4,khodet ke midouni chi misheh.,خودت که ميدوني چي ميشه
1079,majbooram nakon biyaam oonjaa.,!مجبورم نکن بیام اونجا
331,"in vary miravad samt e raste,oon vary miravad samt e chap.",این وری میره سمت راست،اون وری میره سمت چپ
414,mardom khashmnak hastand.,مردم خشمناک هستند
852,aan haa aakhar dorost va hesaabiand,.اونا آخر درست حسابين
1095,kheyli az mardhaa nemidoonan.,خیلی از مردها نمی دونن
793,naansi taamson ekhraaj shode ast,نانسي تامسون اخراج شده
1235,ravaayate zanaani ke mikhaahand sedaayeshaan shenide shavad.,روایت زنانی که میخواهند صدایشان شنیده شود
759,shenidid ke migooyand aamadim savaab konim kabaab shodim hekaayat mamaan man ast,شنیدین که میگن اومدیم ثواب کنیم کباب شدیم؟حکایت مامانه منه
1353,baraa keraaye otooboos ye khorde pool khoord behet midam.,برا کرایه اتوبوس یه خورده پول خرد بهت میدم
598,"dar khelal e sohbat hayash, khod ra ba kaaghaz sargarm kardam.",در خلال صحبتهایش خود را با کاغذها سرگرم کردم
1439,"raas, baavaram nemishe gofti.",راس ، باورم نمیشه گفتی
716,khob in amn maand monjar be chi shod? kaylo dar keshvar aalmaan mamnoo shod,خوب این امر منجر به چه شد؟ کایلا در کشور آلمان ممنوع شد
1306,niyaazi be in kaar nist.,نیازی به این کار نیست
965,sahaam teye hamaan dore az baazaar jelo zade ast,سهام طی همان دوره از بازار جلو زده است
1832,dovomish ine ke man nemiyaam.,دومیش اینه که من نمیام
952,baazi shoroo shod,بازی شروع شد
859,mardom khashmnaak hastand,مردم خشمناک هستند
645,ba dastash yek moosh e zende ra migirad.,با دستش یه موش زنده رو میگیره.
1630,aare be nazar manteghi miyaad.,آره به نظر منطقی میاد
784,taa tasir gozaari in nahaad haaye behdashti raa afzaayesh dahim,تا تاثیرگذاری اجتماعی این نهادهای بهداشتی را افزایش دهیم
1660,fardaash az ham khodaahaafezi kardim va mohsen ghol daad taa maahe dige biyaad khaastegaari.,فرداش از هم خداحافظی کردیم و محسن قول داد تا ماه دیگه بیاد خواستگاری
761,baraaye ketaab kharidan lebaas kharidan pesaram masihaa rang haaye mokhtalef lebaas raa daarad,برای کتاب خریدن، لباس خریدن پسرم مسیحا رنگهای مختلف لباس دارد
408,mikhahad estefade konad?,مي خواد استفاده کنه ؟
280,dars ha ra yekam radif kardam.,درسا رو یکم ردیف کردم
1613,footbaal dasti vojood daashte.,فوتبالدستی وجود داشته
184,harfe digeie nadari bezani?,حرف دیگه ندارین بزنین؟
766,paasokh mideham har aanche az man bar miaamad,پاسخ میدم : هر آنچه از من بر می آمد!
1653,amaa shohar jaan ye daste gole bozorg be aab daad.,اماشوهرجان یه دسته گل بزرگ به آب داد
1317,taaze ben ham goft mano bebar.,تازه بن هم گفت منو ببر
1114,"rafigh, ye lahze vaaystaa.",.رفیق ، یه لحظه وایستا
1879,taa saabet konad doroogh nagofte ast.,تا ثابت کند دروغ نگفته است
548,fekr konam oon farar kard.,فکر کنم اون فرار کرد
1084,shomaari az shaahzaadegaane so'oodi be gereftane akshaaye yaadegaari baa shaahzaade ahmad pardaakhtand.,شماری از شاهزادگان سعودی به گرفتن عکسهای یادگاری با شاهزاده احمد پرداختند
864,kaash beshavad,کاش بشه
1175,behtarin barkhord baa kasi ke aashghaal miandaazad biroon.,بهترین برخورد با كسی كه اشغال می ندازه بیرون
1472,eybi nadaare moshkeli nist.,عیبی نداره. مشکلی نیست
877,azataan delkhoram moones khaanom,ازتون دلخورم مونس خانم!
151,tou bayad biyay ta betoonim.,تو بايد بياي تا بتونيم
430,kash mishod yekishan ra pish e khodam negah daram.,کاش می شد یکیشون پیش خودم نگه دارم
291,mishe komakesh konin bere khaneh ash.,میشه کمکش کنیم بره خونه اش؟
654,to cheraa biroon istaadi?,تو چرا بيرون واستادي ؟
242,na rouznameh ha gouftan na radio.,نه روزنامه ها گفتن نه رادیو.
1588,kibordam dame dast nist.,کیبوردم دم دست نیست
1122,bime daaroohaaye shimidarmaani ro dige pooshesh nemide.,بیمه داروهای شیمی درمانی رو دیگه پوشش نمیده
1265,roozi paadeshaah baraaye poost kandane mive kaarde tizi talab kard amaa dar hine boridane mive angoshtash raa borid.,روزی پادشاه برای پوست کندن میوه کارد تیزی طلب کرد اما در حین بریدن میوه انگشتش را برید
1831,"chi, to khaalkoobi kardi?",چی، تو خالکوبی کردی؟
28,khoda zalil konad in poul ro ke najes tar az in man nadidam tou donya.,خدا ذلیل کنه این پول رو که نجس تر از این من ندیدم تو دنیا.
399,dar mord e chirismas escelet va.,در مورد کريسمس اسکلت و
1537,oon zan ro khaak mikardi?,اون زن رو خاک می کردی؟
980,javaanaan nemikhaahand ke rooye mazraeye manaategh roostaayi baashand,جوانان نمیخواهند که روی مزرعه یا مناطق روستایی باشند
934,edeaaye ghatl peresident kenedi va edeaaye eghdaam teror paap tavasot siaa va edeaaye kharidan koodakaan az aamrikaaye jonoobi tavasot servatmandaan aamrikaai baraaye estefaade az azaaye badaneshaan hame va hame tavasot kaa ge be montasher shodeand,ادعای قتل پرزیدنت کندی و ادعای اقدام به ترور پاپ توسط CIA، و ادعای خرید کودکان از آمریکای جنوبی توسط ثروتمندان آمریکایی برای استفاده از اعضای بدنشان همه و همه توسط کاگب منتشر شدند
